trend,fast,slow,risk_per_trade,atr_period,atr_multiplier,Periodo,Capital Final,Ganancia Neta (%),Drawdown Máximo (%),Total de Operaciones,Tasa de Acierto (%),Factor de Beneficio
200,10,60,0.02,14,2.50,2020-08-12 a 2025-08-10,11863.88,18.64,2.04,14,50.00,4.31
200,20,60,0.02,14,2.50,2020-08-12 a 2025-08-10,11097.29,10.97,1.63,9,44.44,4.12
200,25,50,0.02,14,2.50,2020-08-12 a 2025-08-10,11060.60,10.61,1.60,9,44.44,4.10
200,30,40,0.02,14,2.50,2020-08-12 a 2025-08-10,10712.85,7.13,2.34,8,50.00,3.81
200,10,60,0.02,14,3.00,2020-08-12 a 2025-08-10,11502.11,15.02,2.31,14,50.00,3.64
200,15,40,0.02,14,2.50,2020-08-12 a 2025-08-10,11222.57,12.23,1.91,11,45.45,3.40
200,20,60,0.02,14,2.00,2020-08-12 a 2025-08-10,10722.23,7.22,2.74,9,55.56,3.26
200,15,40,0.02,14,3.00,2020-08-12 a 2025-08-10,11111.16,11.11,2.48,11,45.45,3.25
200,25,50,0.02,14,2.00,2020-08-12 a 2025-08-10,10678.93,6.79,2.64,9,55.56,3.21
200,15,50,0.02,14,2.50,2020-08-12 a 2025-08-10,11121.86,11.22,2.34,11,45.45,2.89
200,15,50,0.02,14,3.00,2020-08-12 a 2025-08-10,11018.00,10.18,2.85,11,45.45,2.81
200,30,40,0.02,14,2.00,2020-08-12 a 2025-08-10,10592.25,5.92,3.12,8,50.00,2.70
200,10,70,0.02,14,2.50,2020-08-12 a 2025-08-10,11101.89,11.02,3.39,12,50.00,2.70
200,20,60,0.02,14,3.00,2020-08-12 a 2025-08-10,10625.86,6.26,2.26,9,44.44,2.51
200,10,40,0.02,14,2.50,2020-08-12 a 2025-08-10,11202.37,12.02,3.52,14,42.86,2.51
200,10,50,0.02,14,2.50,2020-08-12 a 2025-08-10,11045.32,10.45,3.09,13,38.46,2.47
200,10,50,0.02,14,3.00,2020-08-12 a 2025-08-10,10964.40,9.64,3.44,13,38.46,2.47
200,25,50,0.02,14,3.00,2020-08-12 a 2025-08-10,10594.70,5.95,2.22,9,44.44,2.46
200,20,40,0.02,14,2.50,2020-08-12 a 2025-08-10,11000.52,10.01,2.50,13,46.15,2.40
200,20,40,0.02,14,3.00,2020-08-12 a 2025-08-10,10922.02,9.22,2.56,13,38.46,2.39
