fast,slow,rsi_period,rsi_threshold,risk_per_trade,atr_period,atr_multiplier,Periodo,Capital Final,Ganancia Neta (%),Drawdown Máximo (%),Total de Operaciones,Tasa de Acierto (%),Factor de Beneficio
10,40,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,16162.62,61.63,3.09,32,50.00,4.43
10,40,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,16528.78,65.29,2.66,47,46.81,3.65
10,50,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,15343.23,53.43,3.86,37,43.24,3.47
20,50,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,14175.00,41.75,3.76,28,53.57,3.42
15,40,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,14180.01,41.80,2.85,34,50.00,3.23
10,50,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,15478.23,54.78,3.90,43,39.53,3.20
20,60,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,14154.03,41.54,2.78,30,43.33,3.17
10,60,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,14903.36,49.03,3.54,36,44.44,3.12
20,50,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,14104.16,41.04,3.76,34,47.06,2.92
15,40,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,14249.71,42.50,4.14,42,45.24,2.86
20,40,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,13605.83,36.06,5.50,33,45.45,2.85
10,50,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,15357.01,53.57,4.40,51,37.25,2.81
10,50,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,15357.01,53.57,4.40,51,37.25,2.81
15,50,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,13693.93,36.94,3.28,33,42.42,2.74
10,40,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,15721.08,57.21,4.40,63,39.68,2.74
10,40,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,15721.08,57.21,4.40,63,39.68,2.74
10,60,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,14738.01,47.38,4.85,44,38.64,2.67
15,50,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,13927.98,39.28,4.14,37,40.54,2.63
15,50,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,14257.02,42.57,4.42,44,38.64,2.55
15,50,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,14257.02,42.57,4.42,44,38.64,2.55
20,50,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,13746.44,37.46,3.76,37,43.24,2.55
20,50,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,13746.44,37.46,3.76,37,43.24,2.55
20,60,14,55,0.02,14,3.50,2022-08-15 a 2025-08-14,13585.20,35.85,4.59,34,38.24,2.53
20,60,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,13823.39,38.23,3.28,36,38.89,2.51
20,60,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,13823.39,38.23,3.28,36,38.89,2.51
15,40,21,50,0.02,14,3.50,2022-08-15 a 2025-08-14,13898.02,38.98,4.78,48,41.67,2.48
15,40,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,13898.02,38.98,4.78,48,41.67,2.48
15,60,21,55,0.02,14,3.50,2022-08-15 a 2025-08-14,13380.99,33.81,3.72,34,38.24,2.44
20,40,14,50,0.02,14,3.50,2022-08-15 a 2025-08-14,13579.58,35.80,4.71,41,43.90,2.44
