fast,slow,rsi_period,rsi_threshold,risk_per_trade,atr_period,atr_multiplier,Capital Final,Ganancia Neta (%),Drawdown Máximo (%),Total de Operaciones,Tasa de Acierto (%),Factor de Beneficio
20,60,21,55,0.02,14,3.50,16930.74,69.31,3.88,39,58.97,4.71
20,60,14,55,0.02,14,3.50,16092.95,60.93,4.62,46,52.17,3.45
20,50,21,55,0.02,14,3.50,15579.93,55.80,6.43,43,53.49,3.18
20,60,21,55,0.02,14,3.00,14118.45,41.18,8.42,39,51.28,3.01
20,40,21,55,0.02,14,3.50,15618.63,56.19,5.00,48,52.08,2.96
20,60,14,50,0.02,14,3.50,15582.08,55.82,4.62,51,49.02,2.95
20,60,21,50,0.02,14,3.50,15582.08,55.82,4.62,51,49.02,2.95
20,50,14,55,0.02,14,3.50,15957.02,59.57,7.27,50,50.00,2.93
20,40,14,55,0.02,14,3.50,16315.46,63.15,4.69,62,48.39,2.68
15,50,21,55,0.02,14,3.50,13025.76,30.26,4.31,46,56.52,2.44
20,40,21,50,0.02,14,3.50,15818.14,58.18,4.69,67,44.78,2.42
20,40,14,50,0.02,14,3.50,15818.14,58.18,4.69,67,44.78,2.42
15,60,21,55,0.02,14,3.50,12834.77,28.35,5.48,43,53.49,2.38
20,50,21,55,0.02,14,3.00,13278.44,32.78,8.01,43,48.84,2.37
20,50,21,50,0.02,14,3.50,15078.68,50.79,7.88,61,44.26,2.34
20,50,14,50,0.02,14,3.50,15078.68,50.79,7.88,61,44.26,2.34
20,50,14,55,0.02,14,3.00,13774.87,37.75,12.20,50,46.00,2.29
20,60,14,55,0.02,14,3.00,13353.64,33.54,9.75,46,45.65,2.25
15,60,21,55,0.02,14,3.00,12532.94,25.33,5.95,43,53.49,2.21
20,40,21,55,0.02,14,3.00,13317.73,33.18,7.73,48,54.17,2.19
20,40,14,55,0.02,14,3.00,14253.75,42.54,8.66,62,51.61,2.13
15,50,14,55,0.02,14,3.50,13343.85,33.44,4.82,61,49.18,2.11
